token,count
student,421332
car,321403
peopl,273118
like,260145
help,258864
make,240221
elector,234834
colleg,205404
learn,202539
state,201249
time,189074
import,185636
school,174998
work,170052
use,167606
vote,157436
provid,142862
reduc,138696
life,134742
elect,134558
