generated,count,mean,std,min,25%,50%,75%,max
0,1224.0,16.861928104575163,14.389616095982454,0.0,7.0,14.0,23.0,129.0
1,776.0,11.760309278350515,11.002135717933877,0.0,3.0,8.0,18.0,66.0
