token,count
student,1168123
car,918121
peopl,899487
school,636232
help,508824
make,494811
vote,487332
elector,484968
like,482596
time,449337
use,411687
state,372196
think,363245
work,353195
drive,343215
thing,323739
want,315468
way,314309
colleg,311666
need,295257
